codigo_comunidad,comunidad,name,date
1,andalucia,Andalucía,2004-01-01
1,andalucia,Andalucía,2004-04-01
1,andalucia,Andalucía,2004-07-01
1,andalucia,Andalucía,2004-10-01
1,andalucia,Andalucía,2005-01-01
1,andalucia,Andalucía,2005-04-01
1,andalucia,Andalucía,2005-07-01
1,andalucia,Andalucía,2005-10-01
1,andalucia,Andalucía,2006-01-01
1,andalucia,Andalucía,2006-04-01
1,andalucia,Andalucía,2006-07-01
1,andalucia,Andalucía,2006-10-01
1,andalucia,Andalucía,2007-01-01
1,andalucia,Andalucía,2007-04-01
1,andalucia,Andalucía,2007-07-01
1,andalucia,Andalucía,2007-10-01
1,andalucia,Andalucía,2008-01-01
1,andalucia,Andalucía,2008-04-01
1,andalucia,Andalucía,2008-07-01
1,andalucia,Andalucía,2008-10-01
1,andalucia,Andalucía,2009-01-01
1,andalucia,Andalucía,2009-04-01
1,andalucia,Andalucía,2009-07-01
1,andalucia,Andalucía,2009-10-01
1,andalucia,Andalucía,2010-01-01
1,andalucia,Andalucía,2010-04-01
1,andalucia,Andalucía,2010-07-01
1,andalucia,Andalucía,2010-10-01
1,andalucia,Andalucía,2011-01-01
1,andalucia,Andalucía,2011-04-01
1,andalucia,Andalucía,2011-07-01
1,andalucia,Andalucía,2011-10-01
1,andalucia,Andalucía,2012-01-01
1,andalucia,Andalucía,2012-04-01
1,andalucia,Andalucía,2012-07-01
1,andalucia,Andalucía,2012-10-01
1,andalucia,Andalucía,2013-01-01
1,andalucia,Andalucía,2013-04-01
1,andalucia,Andalucía,2013-07-01
1,andalucia,Andalucía,2013-10-01
1,andalucia,Andalucía,2014-01-01
1,andalucia,Andalucía,2014-04-01
1,andalucia,Andalucía,2014-07-01
1,andalucia,Andalucía,2014-10-01
1,andalucia,Andalucía,2015-01-01
1,andalucia,Andalucía,2015-04-01
1,andalucia,Andalucía,2015-07-01
1,andalucia,Andalucía,2015-10-01
2,aragon,Aragón,2004-01-01
2,aragon,Aragón,2004-04-01
2,aragon,Aragón,2004-07-01
2,aragon,Aragón,2004-10-01
2,aragon,Aragón,2005-01-01
2,aragon,Aragón,2005-04-01
2,aragon,Aragón,2005-07-01
2,aragon,Aragón,2005-10-01
2,aragon,Aragón,2006-01-01
2,aragon,Aragón,2006-04-01
2,aragon,Aragón,2006-07-01
2,aragon,Aragón,2006-10-01
2,aragon,Aragón,2007-01-01
2,aragon,Aragón,2007-04-01
2,aragon,Aragón,2007-07-01
2,aragon,Aragón,2007-10-01
2,aragon,Aragón,2008-01-01
2,aragon,Aragón,2008-04-01
2,aragon,Aragón,2008-07-01
2,aragon,Aragón,2008-10-01
2,aragon,Aragón,2009-01-01
2,aragon,Aragón,2009-04-01
2,aragon,Aragón,2009-07-01
2,aragon,Aragón,2009-10-01
2,aragon,Aragón,2010-01-01
2,aragon,Aragón,2010-04-01
2,aragon,Aragón,2010-07-01
2,aragon,Aragón,2010-10-01
2,aragon,Aragón,2011-01-01
2,aragon,Aragón,2011-04-01
2,aragon,Aragón,2011-07-01
2,aragon,Aragón,2011-10-01
2,aragon,Aragón,2012-01-01
2,aragon,Aragón,2012-04-01
2,aragon,Aragón,2012-07-01
2,aragon,Aragón,2012-10-01
2,aragon,Aragón,2013-01-01
2,aragon,Aragón,2013-04-01
2,aragon,Aragón,2013-07-01
2,aragon,Aragón,2013-10-01
2,aragon,Aragón,2014-01-01
2,aragon,Aragón,2014-04-01
2,aragon,Aragón,2014-07-01
2,aragon,Aragón,2014-10-01
2,aragon,Aragón,2015-01-01
2,aragon,Aragón,2015-04-01
2,aragon,Aragón,2015-07-01
2,aragon,Aragón,2015-10-01
3,principado-asturias,Principado de Asturias,2004-01-01
3,principado-asturias,Principado de Asturias,2004-04-01
3,principado-asturias,Principado de Asturias,2004-07-01
3,principado-asturias,Principado de Asturias,2004-10-01
3,principado-asturias,Principado de Asturias,2005-01-01
3,principado-asturias,Principado de Asturias,2005-04-01
3,principado-asturias,Principado de Asturias,2005-07-01
3,principado-asturias,Principado de Asturias,2005-10-01
3,principado-asturias,Principado de Asturias,2006-01-01
3,principado-asturias,Principado de Asturias,2006-04-01
3,principado-asturias,Principado de Asturias,2006-07-01
3,principado-asturias,Principado de Asturias,2006-10-01
3,principado-asturias,Principado de Asturias,2007-01-01
3,principado-asturias,Principado de Asturias,2007-04-01
3,principado-asturias,Principado de Asturias,2007-07-01
3,principado-asturias,Principado de Asturias,2007-10-01
3,principado-asturias,Principado de Asturias,2008-01-01
3,principado-asturias,Principado de Asturias,2008-04-01
3,principado-asturias,Principado de Asturias,2008-07-01
3,principado-asturias,Principado de Asturias,2008-10-01
3,principado-asturias,Principado de Asturias,2009-01-01
3,principado-asturias,Principado de Asturias,2009-04-01
3,principado-asturias,Principado de Asturias,2009-07-01
3,principado-asturias,Principado de Asturias,2009-10-01
3,principado-asturias,Principado de Asturias,2010-01-01
3,principado-asturias,Principado de Asturias,2010-04-01
3,principado-asturias,Principado de Asturias,2010-07-01
3,principado-asturias,Principado de Asturias,2010-10-01
3,principado-asturias,Principado de Asturias,2011-01-01
3,principado-asturias,Principado de Asturias,2011-04-01
3,principado-asturias,Principado de Asturias,2011-07-01
3,principado-asturias,Principado de Asturias,2011-10-01
3,principado-asturias,Principado de Asturias,2012-01-01
3,principado-asturias,Principado de Asturias,2012-04-01
3,principado-asturias,Principado de Asturias,2012-07-01
