codigo_comunidad;comunidad;name;year;precio;IPC;edad_media;mano_obra;precio_Acero;precio_Aluminio;precio_Cemento;precio_Ceramica;precio_Cobre;precio_Energía;precio_Ligantes;precio_Madera;num_hipotecas;num_inmigracion
1;andalucia;Andalucía;01/01/2003;9950;72838;3,79515E+14;3130;7199;7258;13499;12274;5582;20170;14539;15074;69821;205704
1;andalucia;Andalucía;01/04/2003;10330;74225;3,79515E+14;31754;7307;7283;13437;12272;5276;19409;15257;15072;57326;213822
1;andalucia;Andalucía;01/07/2003;10940;73579;3,805E+15;31592;7244;7048;13246;12260;5412;18653;15178;15126;52571;221941
1;andalucia;Andalucía;01/10/2003;11330;74736;3,805E+15;31996;7174;7054;13312;12244;5905;18173;14452;15129;63411;230060
1;andalucia;Andalucía;01/01/2004;11860;74391;3,8146E+15;31941;7357;7117;13427;12260;6893;17733;12628;15179;79923;238178
1;andalucia;Andalucía;01/04/2004;12680;76236;3,8146E+15;32514;9125;7211;13734;12408;8793;18245;13428;15218;82731;255542
1;andalucia;Andalucía;01/07/2004;13250;76101;3,8259E+15;32513;9282;7526;13728;12482;8193;19059;13695;15273;76773;272906
1;andalucia;Andalucía;01/10/2004;13850;77295;3,8259E+15;32956;10139;7735;13713;12575;8631;20314;13255;15319;80543;290270
1;andalucia;Andalucía;01/01/2005;14440;76635;3,83382E+15;3276;10177;7534;13922;12689;8666;19606;12534;15364;87061;307634
1;andalucia;Andalucía;01/04/2005;15080;78905;3,83382E+15;3346;9777;7875;14331;12849;9253;21880;17023;15556;96637;321168
1;andalucia;Andalucía;01/07/2005;15750;7851;3,84012E+15;33403;9545;7681;14355;12953;10604;23285;19484;15591;98793;334703
1;andalucia;Andalucía;01/10/2005;16350;79953;3,84012E+15;33917;9852;7837;14438;13018;11929;25389;23403;15619;88135;348238
1;andalucia;Andalucía;01/01/2006;16900;79725;3,85172E+15;33916;9782;8687;14736;13323;13814;25360;23056;15722;104818;361772
1;andalucia;Andalucía;01/04/2006;17430;81855;3,85172E+15;34524;10160;8952;15632;13604;18383;25878;26087;15860;99800;372506
1;andalucia;Andalucía;01/07/2006;17860;81639;3,86281E+15;34523;10600;8866;15635;13768;21471;26053;25822;16007;91548;383240
1;andalucia;Andalucía;01/10/2006;18530;82082;3,86281E+15;34641;11028;8685;15654;13968;21002;23814;21955;16073;93475;393973
1;andalucia;Andalucía;01/01/2007;18910;81823;3,87296E+15;34581;10796;8846;16343;14313;15404;22915;20353;16381;102189;404707
1;andalucia;Andalucía;01/04/2007;19180;838;3,87296E+15;35261;11550;8895;16942;14678;20292;23958;24441;16701;87661;424035
1;andalucia;Andalucía;01/07/2007;19470;83371;3,88248E+15;3520;11471;8654;16938;14712;20531;25892;28288;16870;87695;443362
1;andalucia;Andalucía;01/10/2007;19610;84973;3,88248E+15;3571;11052;7948;16849;14764;19879;26825;32004;17061;80366;462690
